ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Outdoor_Activities,Outdoor_Details_1_1,Outdoor_Details_1_2,Outdoor_Details_1_3,Outdoor_Details_2_1,Outdoor_Details_2_2,Outdoor_Details_2_3,Outdoor_Details_3_1,Outdoor_Details_3_2,Outdoor_Details_3_3,Outdoor_Details_4_1,Outdoor_Details_4_2,Outdoor_Details_4_3,Outdoor_Details_5_1,Outdoor_Details_5_2,Outdoor_Details_5_3,Outdoor_Details_6_1,Outdoor_Details_6_2,Outdoor_Details_6_3,Outdoor_Details_7_1,Outdoor_Details_7_2,Outdoor_Details_7_3,Outdoor_Details_8_1,Outdoor_Details_8_2,Outdoor_Details_8_3,Outdoor_Details_9_1,Outdoor_Details_9_2,Outdoor_Details_9_3,Outdoor_Details_10_1,Outdoor_Details_10_2,Outdoor_Details_10_3,Outdoor_Details_11_1,Outdoor_Details_11_2,Outdoor_Details_11_3,Outdoor_Details_8_TEXT,Outdoor_Details_9_TEXT,Outdoor_Details_10_TEXT,Outdoor_Details_11_TEXT
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal outdoor activities training. - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal outdoor activities training. - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal outdoor activities training. - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Backpacking - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Backpacking - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Backpacking - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Biking - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Biking - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Biking - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Canoeing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Canoeing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Canoeing - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Kayaking - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Kayaking - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Kayaking - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Rock Climbing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Rock Climbing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Rock Climbing - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Skiing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Skiing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Skiing - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_x1_1""}","{""ImportId"":""QID26_x1_2""}","{""ImportId"":""QID26_x1_3""}","{""ImportId"":""QID26_x2_1""}","{""ImportId"":""QID26_x2_2""}","{""ImportId"":""QID26_x2_3""}","{""ImportId"":""QID26_x3_1""}","{""ImportId"":""QID26_x3_2""}","{""ImportId"":""QID26_x3_3""}","{""ImportId"":""QID26_x4_1""}","{""ImportId"":""QID26_x4_2""}","{""ImportId"":""QID26_x4_3""}","{""ImportId"":""QID26_x5_1""}","{""ImportId"":""QID26_x5_2""}","{""ImportId"":""QID26_x5_3""}","{""ImportId"":""QID26_x6_1""}","{""ImportId"":""QID26_x6_2""}","{""ImportId"":""QID26_x6_3""}","{""ImportId"":""QID26_x7_1""}","{""ImportId"":""QID26_x7_2""}","{""ImportId"":""QID26_x7_3""}","{""ImportId"":""QID26_x8_1""}","{""ImportId"":""QID26_x8_2""}","{""ImportId"":""QID26_x8_3""}","{""ImportId"":""QID26_x9_1""}","{""ImportId"":""QID26_x9_2""}","{""ImportId"":""QID26_x9_3""}","{""ImportId"":""QID26_x10_1""}","{""ImportId"":""QID26_x10_2""}","{""ImportId"":""QID26_x10_3""}","{""ImportId"":""QID26_x11_1""}","{""ImportId"":""QID26_x11_2""}","{""ImportId"":""QID26_x11_3""}","{""ImportId"":""QID26_x8_TEXT""}","{""ImportId"":""QID26_x9_TEXT""}","{""ImportId"":""QID26_x10_TEXT""}","{""ImportId"":""QID26_x11_TEXT""}"
R_2ZBtzm0XhlTomfi,2020-11-17 18:55:28,2020-11-17 18:08:32,2020-11-17 18:55:27,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_s5cQxlD0Gsk77X3,2020-11-19 23:07:31,2020-11-19 22:38:37,2020-11-19 23:07:30,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_z20MsvOUuDVL82t,2020-11-30 17:23:07,2020-11-30 16:56:19,2020-11-30 17:23:07,1,action,"2,5,6,7",,,,10,0,5,,,,,,,5,1,2,2,0,2,15,0,5,,,,,,,,,,,,,,,,
R_9yiqiVBucOzthpn,2020-12-01 15:18:23,2020-12-01 14:39:02,2020-12-01 15:18:23,1,stationary,"6,7",,,,,,,,,,,,,,,,1,1,3,7,7,6,,,,,,,,,,,,,,,,
R_3NIJpziW517QCZL,2020-12-03 11:12:01,2020-12-03 10:41:57,2020-12-03 11:12:01,1,action,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_vYs6JfFPEMZX3kl,2020-12-03 14:36:26,2020-12-03 10:30:59,2020-12-03 10:36:16,0,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1okg7WsO2yXS0S8,2020-12-08 00:06:03,2020-12-07 23:39:43,2020-12-08 00:06:03,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_p3n0HMAnlWVmkbn,2020-12-10 17:04:57,2020-12-10 16:41:05,2020-12-10 17:04:56,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
