ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID560_TEXT""}","{""ImportId"":""QID570_TEXT""}"
R_1gUsFdfe02quEcu,2020-11-15 16:19:51,2020-11-15 15:33:43,2020-11-15 16:19:50,1,stationary,2000,3,College Student,1,6,I think the study was about how training in any physical activity can improve memory of movement.,I think the results would show that those with professional training in one or more of these areas have better results with the video than those who are not professionally trained.,I think the difficult part was identifying whether or not we were supposed to do the movements during the exercise.,I tried to find a pattern with the movements.,"Yes
"
R_T1Vt3EwMDgAgcMx,2020-11-18 15:35:16,2020-11-18 15:08:43,2020-11-18 15:35:16,1,control,2002,2,Student,1,"4,1","Ability to recall memory; whether it was strengthened by mirroring the movements. Perhaps this study relates to mirror neurons and their activity. ","That replicating the movements could lead to more accurate memory recall. ","The expectation to keep our legs and arms moving at a steady pace while we mirrored the actions in the video; should we have been moving while performing the actions or simply during the pauses in between? ","I tried to use associations of arm and leg movements I'd often seen performed in succession. ","These images were a bit confusing on their own but helpful when coupled with explanatory text. "
R_3Pvj8Q6KKvHXX4l,2020-11-18 16:20:03,2020-11-18 15:45:36,2020-11-18 16:20:02,1,action,2001,2,Student,1,4,How people are able to memorize/recall the order of movements and whether experience (formal training) in a physical activity influences that ability,"I think that people who have experience in sequence/order based physical activity (especially dancers, figure skaters, maybe martial arts) would remember the order of the movements better, and the more experience/time spent doing that sport would also help remembering the order of the movements.",No everything was clear!,I imitated the movements to guess which movement that came next because I did not remember at all.,Yes these images were very helpful. I interpreted the images to say that I should mirror the movements shown.
R_3qVUxZ3dFnQgoGA,2020-11-23 14:08:21,2020-11-23 13:45:52,2020-11-23 14:08:20,1,control,2001,3,Student,1,4,Movement,,Memorizing the moves in correct order.,Went through the sequences in my head,Looked at the stick figures and mimicked the movements
R_3ekk2Bu9KoVEJPb,2020-11-24 17:57:07,2020-11-24 17:29:07,2020-11-24 17:57:06,1,action,1999,3,Student,2,1,"How well we can remember movements through memory when acting them out, and this relates to past coordination or training","Those who have been trained previously in dancing, exercise, etc. would be better at remembering movements through acting them out.",NA,Remembering how I moved after each movement,"Yes, images were clear"
R_DdvG8NXhELcphLP,2020-12-02 00:20:18,2020-12-01 23:55:40,2020-12-02 00:20:18,1,stationary,1999,3,Student,1,4,Whether you remember the sequences of movement better if you were standing than seated.,People will remember better when they are standing,Everything was pretty clear,,"They were clear. "
R_1MVWY5oM3zBrCoA,2020-12-02 03:55:49,2020-12-01 23:52:33,2020-12-01 23:55:40,0,stationary,,,,,,,,,,
R_2OIu1IVmxzZpS2V,2020-12-09 17:20:44,2020-12-09 16:13:58,2020-12-09 17:20:43,1,control,2002,2,Student,2,1,Difference in learning methods - if being active while being instructed helps people learn activities better or if it distracts them and causes them to forget what they learned while stationary.,Show that people retained information worse due to the two movement sections than if there was just one sitting section then the questions on sequences. I say this because personally I felt I had a better grasp of the sequence of activities before I had to watch them while walking in place.,No,Gut feeling and intuition,"They were clear, although the directions were clear enough that the pictures weren't necessary."
