ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,RS-1_T-1_Recognition,RS-1_T-1_Likert_1,RS-1_T-2_Recognition,RS-1_T-2_Likert_1,RS-1_T-3_Recognition,RS-1_T-3_Likert_1,RS-1_T-4_Recognition,RS-1_T-4_Likert_1,RS-1_UT-1Recognition,RS-1_UT-1_Likert_1,RS-1_UT-2Recognition,RS-1_UT-2_Likert_1,RS-1_UT-3Recognition,RS-1_UT-3_Likert_1,RS-1_UT-4Recognition,RS-1_UT-4_Likert_1,RS-1_T-1c_Likert_1,Correct_Mvt_RS-1_T-1,RS-1_T-2c_Likert_1,Correct_Mvt_RS-1_T-2,RS-1_T-3c_Likert_1,Correct_Mvt_RS-1_T-3,RS-1_T-4c_Likert_1,Correct_Mvt_RS-1_T-4
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_3g1TPcfJjkHUHxD,2020-11-11 16:21:31,2020-11-11 15:51:43,2020-11-11 16:21:31,1,action,2,6,2,2,2,5,2,3,1,4,1,3,1,4,2,5,3,2,3,2,3,2,3,1
R_3DbaNhhBNLLYEWM,2020-11-13 15:19:13,2020-11-13 11:01:46,2020-11-13 11:19:09,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_1g2zd7zZuVlr0Dq,2020-11-19 16:35:28,2020-11-19 15:46:14,2020-11-19 16:35:28,1,stationary,2,1,1,2,1,2,2,3,2,2,2,2,2,1,1,2,4,2,1,2,3,2,2,2
R_1pldJdcEsu7L2J0,2020-11-21 12:41:43,2020-11-21 12:17:32,2020-11-21 12:41:43,1,action,2,2,1,1,2,2,1,2,2,1,1,3,2,2,2,2,2,2,3,1,3,1,1,1
R_3Hp2ipKsSiBvcoa,2020-11-23 20:35:34,2020-11-23 20:09:07,2020-11-23 20:35:33,1,stationary,1,2,1,1,1,3,2,4,2,2,1,2,2,1,1,3,1,2,1,2,1,2,1,2
R_1omYuTMtnUnuTaq,2020-12-06 18:14:14,2020-12-06 13:55:13,2020-12-06 14:14:09,0,control,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,,,,,1,,,
R_2CWDqbCF4i98RT1,2020-12-07 14:23:21,2020-12-07 13:57:32,2020-12-07 14:23:21,1,stationary,1,3,1,3,2,3,2,3,2,3,1,3,2,6,2,4,5,1,4,2,2,2,5,2
R_21HZDFVEAo8wjmQ,2020-12-11 09:36:18,2020-12-11 09:12:05,2020-12-11 09:36:17,1,control,2,2,1,2,2,2,1,6,2,2,1,2,1,2,2,3,5,1,2,3,3,2,2,1
