ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID560_TEXT""}","{""ImportId"":""QID570_TEXT""}"
R_2z8trZuMtIgGLUg,2020-11-12 18:35:13,2020-11-12 18:06:25,2020-11-12 18:35:12,1,action,2000,3,student,1,1,,,,,
R_2tMqFsArs7QaL6s,2020-11-13 14:39:14,2020-11-13 14:11:23,2020-11-13 14:39:14,1,stationary,1984,6,Student,1,4,Patterns of movement,I'm pretty sure I didn't get any of the patterns correct! haha,,"said words like left arm, right leg, knee, etc. aloud",yes
R_yKEZGkuEZrDu6VH,2020-11-19 19:39:30,2020-11-19 15:39:08,2020-11-19 15:39:15,0,control,,,,,,,,,,
R_1CfMMUjm0Ry4mzm,2020-11-19 21:04:40,2020-11-19 20:36:47,2020-11-19 21:04:39,1,control,1999,3,student,1,1,How we memorize routines/what is the most efficient way to memorize movement,Walking in place probably impaired the ability to remember the sequences,Nope,"I just did what I was told to do & went with a ""gut"" feeling on the tasks where I had to remember sequences",yes it was fairly straightforward
R_1OvO6Ky2QNIjlsr,2020-11-20 00:34:40,2020-11-19 20:27:49,2020-11-19 20:34:37,0,action,,,,,,,,,,
R_2tkTpIOQ8TTCrl7,2020-12-01 18:47:33,2020-12-01 18:21:02,2020-12-01 18:47:33,1,stationary,1998,3,student,1,6,If watching a movement while standing helps memory,it helps to stand,no,none,yes
R_9mJ4INQ5YiFMAPT,2020-12-09 19:23:40,2020-12-09 18:54:53,2020-12-09 19:23:39,1,action,2001,2,student,1,4,How effective motion memory is in relation to active events,Results would show that if you had formal training in dance/martial arts you would have a higher chance of memorizing the motion,N/A,I just did exactly as what was shown in the video,"Images were clear
"
R_1CIrdZ9udnvy2Dm,2020-12-13 14:40:57,2020-12-13 14:12:39,2020-12-13 14:40:57,1,control,2002,3,Student,1,6,Memory of physical movements,How fast you can pick up on movements you observe,No.,I tried to remember the movements in chunks.,"Yes, they were clear."
R_Qgdv5Q0v8V1EWT7,2020-12-13 22:32:55,2020-12-13 21:46:34,2020-12-13 22:32:55,1,stationary,1998,3,Student,1,1,"Memory ",That by not saying what it's about we pay less attention to the details.,"what the purpose was, more background info would have been helpful ","I thought I would have to remember if certain poses were in the video so i wasn't memorizing individual actions, but patterns were only remember as a by-product.","Yes, that I was to stand and do the actions with the video instead of sitting."
R_eJQhbWSME90sW6l,2020-12-15 12:27:29,2020-12-15 11:56:28,2020-12-15 12:27:29,1,action,1998,2,student,1,1,Memory from movements,That performing a movement leads to better memory,"No, everything was clear",I tried to find a pattern in the movements while watching the video,"Yes, they were clear and I was able to follow them easily"
R_2QfjS9k0VE4B3ex,2020-12-16 15:53:34,2020-12-16 15:26:43,2020-12-16 15:53:33,1,stationary,2000,3,Student,1,"4,1","how integrating movement can change learning quality ","more movement leads to better learning, and there tends to be an increase in memory of movement for those who are trained in sports that require memorization of a movement routine (dance, etc)",,slightly mimicking the movements with my hands,"maybe bold the idea that we are not to move while standing and watching
"
R_1jdjzXM6TTxWU15,2020-12-20 02:23:33,2020-12-19 22:05:23,2020-12-19 22:23:30,0,control,,,,,,,,,,
R_2TS04vuRri2Tzy3,2020-12-20 02:23:37,2020-12-19 22:23:30,2020-12-19 22:23:36,0,action,,,,,,,,,,
R_eWFeakVIjkmlzgd,2020-12-22 09:39:37,2020-12-22 09:16:24,2020-12-22 09:39:36,1,action,2000,5,student,1,4,Whether replicating movement increases memory accuracy,,The videos were slightly confusing,,"Yes, the images were clear on how to replicate movements"
