ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID560_TEXT""}","{""ImportId"":""QID570_TEXT""}"
R_2v0xgravfprSyZI,2020-11-18 14:54:10,2020-11-18 14:27:43,2020-11-18 14:54:10,True,action,2000,Some college but no degree,,Female,Asian,learning movements,,,,yes they were clear
R_t07N6Lfvw33eA8h,2020-11-19 13:09:58,2020-11-19 12:33:35,2020-11-19 13:09:58,True,stationary,2001,High school graduate (high school diploma or equivalent including GED),"student, food service worker",Female,Black or African American,"being able to remember patterns, testing memory recall eve if subconscious memory of patterns","people with more training particularly where sequences are important(ie. dance, types of martial arts) would have an easier time remembering the patterns","everything was easier to understand
","I tried acting them out and seeing if anything ""felt"" right as a next movement or made any logical sense in terms of 3 sequenced patterns(ex. left leg, left arm, switch to right limb movement)",Images are very clear. I thought it aptly demonstrated how I was to perform/behave in the next phase of watching videos.
R_1i86IcODbMOl1la,2020-11-22 01:54:04,2020-11-21 21:14:49,2020-11-21 21:53:51,False,control,,,,,,,,,,
R_2bJWBEMPtSeRnLf,2020-11-23 08:48:07,2020-11-23 04:44:59,2020-11-23 04:48:01,False,stationary,,,,,,,,,,
R_Tdx8sG0Howph5sd,2020-12-01 23:18:08,2020-12-01 22:54:09,2020-12-01 23:18:07,True,control,2001,Some college but no degree,Student,Male,White,How experience in activities affects ability to remember movements,Positive correlation between dance/martial-arts/sports experience and ability to recall movements,Nope! Great study,None,"Yes, they were easy to understand and repeat"
R_V1OHar3ORQoKTw5,2020-12-11 21:59:53,2020-12-11 21:34:37,2020-12-11 21:59:53,True,action,2001,High school graduate (high school diploma or equivalent including GED),,Female,White,,"People who have formal training in activities related to routined movement are better at remembering routines and predicting the 3rd move of the series ",no,,yes
R_2S8JhegbZRWARIv,2020-12-12 11:27:00,2020-12-12 10:56:10,2020-12-12 11:27:00,True,action,1999,Some college but no degree,Student,Male,"Hispanic or Latinx,White","People's cognitive ability to memorize sequences or formulate patterns. I almost want to say that the movements were totally randomized, I felt pretty confident about some of my responses and totally confused about some others.","That people find patterns where there are none, despite background noise and coincidental events in the environment. ","Not really anything, just hard to keep my attention on a silent video. My mind started to wander.
.","Repeated movement in my head with relation to limb and the subsequent limb moved. Split the movements between opposite sides and looked for patterns of alternation. ",It was clear
R_2dAVdU7Nms7nUmG,2020-12-12 13:25:48,2020-12-12 13:00:56,2020-12-12 13:25:46,True,control,1999,High school graduate (high school diploma or equivalent including GED),College Student,Male,"Asian,White","Interesting, not sure how well I did on the first part","Not that good, hard to pay attention while doing the exercises","Nothing was difficult, I didn't know if you wanted me to mimic the exercises or just jog in place",Just did what was asked,To jog in place not do the movements
