ResponseId,Finished,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total
R_p3n0HMAnlWVmkbn,1,control,0,0,0,54,54
R_30ktXzc2zPOw4cC,1,action,0,0,13,10,23
R_2E0JLBoRCQIfKLU,1,stationary,8,0,0,18,26
R_3r0UScEoISswx1u,1,control,0,0,18,51,69
R_1pGvCqnx5M2GLyT,1,action,30,10,0,4,44
R_3kjiJ0cYAtlKVsd,1,stationary,4,0,0,9,13
R_3il2hAL3YJMRHuj,1,control,0,2,15,12,29
R_Y0lC2bURNKQ3rsl,1,action,6,4,4,7,21
R_1n9hXXlqv4725Nx,0,stationary,0,0,0,0,0
R_3KSFfa1fuAM35Uq,1,control,0,0,1,2,3
R_22YeesBACbP17Xl,1,action,0,0,0,3.5,3.5
R_xDBozmNIJhLwDMB,1,stationary,0,0,0,41,41
R_22Dqi8MmKyJQFs0,0,control,0,0,0,0,0
R_9Z6V2jy8zanjCet,1,stationary,9,0,14,26,49
R_pau7R5HleInyIg1,0,control,0,0,0,0,0
R_2t4NJLn62bkRrJR,1,action,8,6,0,30,44
R_3Ic4uQ9YZNVQXGE,0,control,0,0,0,0,0
R_2uU7IH5rL0I0Beu,0,stationary,0,0,0,0,0
R_7OMvDnLUYAXcJ3P,1,control,0,0,2,22,24
R_1FtCHinZ1VmGctM,1,control,93,6,0,0,99
R_2dFMY5BGCSKCEQ3,1,control,0,0,12,12,24
R_1gToA5dwcVrB0oE,1,stationary,0,0,14,17,31
R_2P86vYRWi4fyQnu,1,action,4,1,12,4,21
R_1E5Li6MeMODL34o,1,stationary,2,0.5,7,14.5,24
R_qXb6kFYFabudYuB,1,stationary,24,11,14,17,66
R_2txU80tqpU5oWDK,1,stationary,0,2,2,22,26
R_2D040LrzDnjnxX5,1,action,0,0,0,46,46
R_3jdnVXeXzCFjRyz,0,action,0,0,0,0,0
R_25S29Kh6VpaLFqw,0,stationary,0,8,0,0,8
R_3kcfIwWe0K5Ohab,0,control,0,0,0,0,0
R_1K9cVUEdzyFSf7e,0,action,0,0,0,0,0
R_1hKD8bqt0U4mqUT,1,action,0,6,20,30,56
R_3gMjj5c4HnDNeVL,1,action,0,0,3,0,3
R_2w62m0QjvI58rMO,1,control,2,0,11,36,49
R_7TGS1WSDK2gtkWZ,1,stationary,3,0,0,6,9
R_w1tERrKrnr23GIV,1,action,0,0,0,0,0
R_yBJcWiGUlZbxLuF,1,control,0,0,0,0,0
R_a9MSRxNGf5PoAdH,1,action,0,0,0,14,14
R_1qahVm0PTQfV030,1,action,0,0,1,0,1
R_OjIL607w1KL8NLr,1,action,0,0,25,15,40
R_3oZSjHLM9sTWMCS,1,action,0,0,0,1,1
R_BzgpyhFK6vCMUgN,1,stationary,0,0,12,38,50
R_3qebFBcGGEKvIJ7,1,stationary,0,0,0,0,0
R_31GhOM0K5ZZiIOU,1,control,0,0,0,0,0
R_1LNbnaPgt7LK42u,0,action,0,0,0,0,0
R_2gaGSLsPzgCfoRj,1,stationary,0,0,0,0,0
R_2QhqaYt61VHa0fl,1,control,0,1,5,12,18
R_yxNdeK7WQ6p9PcR,1,control,0,2,2,3,7
R_2rkjwQWCsVwRGuY,1,stationary,0,0,0,0,0
R_1fftoTDPgXSVn7m,0,control,0,0,0,0,0
R_cSI0E1AtixLPrwd,0,control,0,0,0,0,0
R_1MSNeuaT5ao9PaC,1,control,4,0,0,3,7
R_1QLTSqvciPHARmS,0,action,0,0,0,0,0
R_5bxYVYjgXHvZtzr,1,control,9,0,0,0,9
R_2Xcyu1k8au3IJne,1,stationary,0,0,0,0,0
R_22RDcWfUmAZCCbb,1,action,2,0,0,14,16
R_OOSMzJUU74DkL2F,1,control,0,0,12,27,39
R_3fJzX6lUowC9Eqm,1,action,0,0,4,0,4
R_UuvXDvQe8lxyhfH,0,action,0,0,0,0,0
R_27JBGeyWlu3EFI3,1,control,17,0,0,0,17
R_1gtnRHluySObaEd,1,stationary,0,6,4,0,10
R_4SJVKhER6MUhxNn,1,stationary,0,0,12,3,15
R_1d5XYx82RrqtMGa,1,stationary,0,0,2,8,10
R_1isvn10Ya3STFTi,1,control,8,0,10,0,18
R_27x3rOFJ0mxbfzl,1,control,0,0,0,0,0
R_PtTsoJVPOfTW2rv,0,stationary,0,0,0,0,0
R_1Kwq1MUhgnoFENe,1,action,0,0,2,5,7
R_1lABrnB3MyGot8y,0,action,0,0,0,0,0
R_3lPvEQtlP7KmTDj,0,stationary,0,0,0,0,0
R_1KqYfSodSCUQVfp,1,control,0,0,0,1,1
R_Toc7KrnXwSl8JsB,1,action,0,0,0,17,17
R_1GZJt7pDpDbHP7P,1,stationary,3,0,0,7,10
R_WpTrLvuQZ0fnN97,1,action,0,0,0,29,29
R_1IaDNqugWs0onDJ,1,stationary,0,0,29,34,63
R_1riYiWF6k8RQCBu,1,action,0,0,0,0,0
R_2Ytzt4geaOLSqOm,1,control,0,0,0,0,0
R_2S67YtQ0u0Nediw,1,action,0,3,4,4,11
R_2y4qyblvZ1LxqjJ,1,stationary,17,0,0,21,38
R_BE1HOd3Ugfx1YKR,0,action,0,0,0,0,0
R_diKlNstAqAVUlGx,1,stationary,5,0,3,16,24
R_1rPkNLCktfEXhR9,1,control,18,0,0,0,18
R_0Bqz3ThCxA96a0F,1,action,0,0,0,22,22
R_25yXqXnTXEfJGgx,1,stationary,62,0,0,8,70
R_2eOm5IYcM6ReLzL,1,action,0,0,0.5,0,0.5
R_6QEugdiR7pfRbR7,1,stationary,13,1,2,14,30
R_32RCguc6SxUOIVY,1,action,0,0,0,38,38
R_3pg88lsRNKZsC2u,1,control,0,0,0,7,7
R_1NlF3wGEg7CjHxt,1,action,0.5,0,0,5,5.5
R_3qVaJqFhHEw1Q8X,0,action,0,0,0,0,0
R_301972JI9hxcbI2,1,stationary,4.5,6,1,22,33.5
R_1EYuvfi1bmW6kQW,1,control,0,0,1,8,9
R_3L5eGkgfFgPrBfL,0,stationary,0,0,0,0,0
R_24ee4Pzz0MfRvSt,1,stationary,0,0,0,10,10
R_1dlRMVtlkOHFKUh,1,control,0,0,0,8,8
R_XNX5ZiDTsh5aiw9,1,control,0,12,0,34,46
R_2Qyw1pg2r1Zorut,1,stationary,16,0,0,34,50
R_cSFU8oIxXXpKG3f,1,stationary,0,1.5,0,6,7.5
R_116qdOU3IK0Egpr,1,control,0,0,0,10,10
R_3iPC0UtSkL5wSLd,1,stationary,0,0,0,14,14
R_2RX1w1tljXBbsF5,1,control,0,0,0,9,9
R_1ohG4eAV1OPEjaQ,1,action,12,0,2,28,42
R_ZwxZ6NcCX9IhGgh,1,control,16,0,0,0,16
R_55A6Wc3Ioig7PO1,1,control,0,0,8,8,16
R_3qlFd2JshwMZSN4,1,stationary,1.5,6,0,0,7.5
R_24ADeoWP3McWbyU,1,action,0,3,0,6,9
R_2aKtPsBD5xoat1J,1,action,0,0,0,8,8
R_Xk4nj9EiblUI9oZ,1,action,14,0,25,29,68
R_3oZVIolfnWIc2HD,1,control,26,0,17,15,58
R_recAzs3jcXnZ7Md,0,stationary,0,0,0,0,0
R_1K12yqCwViywoJf,1,action,12.16,1,0,0.7,13.86
R_2a9NhpsBpqKBtzl,1,action,0,0,0,21,21
R_3pr9FErKrYp8DJW,1,control,1,5,0.25,7,13.25
R_yF2aFoUY5DqcvKN,1,control,0,7.5,1,6,14.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
